 Document set number (Dnnn)
 |    Type (= Extract)
 |    | Target size (200, 400)
 |    | |   Document selector code (A-J)
 |    | |   | Peer summarizer code (manual[A-J] or system submission[15-31]
 |    | |   | |   Model summarizer code (A-J)
 |    | |   | |   |   Model sentences
 |    | |   | |   |   |     Peer sentences
 |    | |   | |   |   |     |    Model-only sentences
 |    | |   | |   |   |     |    |    Model and peer sentences
 |    | |   | |   |   |     |    |    |    Peer-only sentences
 |    | |   | |   |   |     |    |    |    |  Sentence precision
 |    | |   | |   |   |     |    |    |    |  |      Sentence recall
 |    | |   | |   |   |     |    |    |    |  |      |
 D099 E 400 E 24  B   21   12   18    3    9  0.250  0.143
 D099 E 400 E 24  C   21   12   19    2   10  0.167  0.095
 D099 E 400 E 25  B   21   14   21    0   14  0.000  0.000
 D099 E 400 E 25  C   21   14   20    1   13  0.071  0.048
 D099 E 400 E 28  B   21   17   19    2   15  0.118  0.095
 D099 E 400 E 28  C   21   17   19    2   15  0.118  0.095
 D099 E 400 E 29  B   21   14   19    2   12  0.143  0.095
 D099 E 400 E 29  C   21   14   19    2   12  0.143  0.095
 D099 E 400 E 31  B   21   13   21    0   13  0.000  0.000
 D099 E 400 E 31  C   21   13   20    1   12  0.077  0.048
 D100 E 200 E 16  F    6    4    5    1    3  0.250  0.167
 D100 E 200 E 16  H   14    4   14    0    4  0.000  0.000
 D100 E 200 E 19  F    6   10    5    1    9  0.100  0.167
 D100 E 200 E 19  H   14   10    9    5    5  0.500  0.357
 D100 E 200 E 20  F    6    9    6    0    9  0.000  0.000
 D100 E 200 E 20  H   14    9   14    0    9  0.000  0.000
 D100 E 200 E 21  F    6    6    4    2    4  0.333  0.333
 D100 E 200 E 21  H   14    6   13    1    5  0.167  0.071
 D100 E 200 E 22  F    6    4    6    0    4  0.000  0.000
 D100 E 200 E 22  H   14    4   14    0    4  0.000  0.000
 D100 E 200 E 24  F    6    6    5    1    5  0.167  0.167
 D100 E 200 E 24  H   14    6   13    1    5  0.167  0.071
 D100 E 200 E 25  F    6    7    6    0    7  0.000  0.000
 D100 E 200 E 25  H   14    7   14    0    7  0.000  0.000
 D100 E 200 E 28  F    6    7    5    1    6  0.143  0.167
 D100 E 200 E 28  H   14    7   13    1    6  0.143  0.071
 D100 E 200 E 29  F    6   12    6    0   12  0.000  0.000
 D100 E 200 E 29  H   14   12   14    0   12  0.000  0.000
 D100 E 200 E 31  F    6    6    5    1    5  0.167  0.167
 D100 E 200 E 31  H   14    6   14    0    6  0.000  0.000
 D100 E 400 E 16  F   11    7    8    3    4  0.429  0.273
 D100 E 400 E 16  H   25    7   24    1    6  0.143  0.040
 D100 E 400 E 19  F   11   20   10    1   19  0.050  0.091
 D100 E 400 E 19  H   25   20   20    5   15  0.250  0.200
