 Document set number (Dnnn)
 |    Type (= Extract)
 |    | Target size (200, 400)
 |    | |   Document selector code (A-J)
 |    | |   | Peer summarizer code (manual[A-J] or system submission[15-31]
 |    | |   | |   Model summarizer code (A-J)
 |    | |   | |   |   Model sentences
 |    | |   | |   |   |     Peer sentences
 |    | |   | |   |   |     |    Model-only sentences
 |    | |   | |   |   |     |    |    Model and peer sentences
 |    | |   | |   |   |     |    |    |    Peer-only sentences
 |    | |   | |   |   |     |    |    |    |  Sentence precision
 |    | |   | |   |   |     |    |    |    |  |      Sentence recall
 |    | |   | |   |   |     |    |    |    |  |      |
 D105 E 400 G 20  C   13   15   11    2   13  0.133  0.154
 D105 E 400 G 20  I   18   15   16    2   13  0.133  0.111
 D105 E 400 G 21  C   13   14    8    5    9  0.357  0.385
 D105 E 400 G 21  I   18   14   12    6    8  0.429  0.333
 D105 E 400 G 22  C   13    8   13    0    8  0.000  0.000
 D105 E 400 G 22  I   18    8   18    0    8  0.000  0.000
 D105 E 400 G 24  C   13   14   13    0   14  0.000  0.000
 D105 E 400 G 24  I   18   14   16    2   12  0.143  0.111
 D105 E 400 G 25  C   13   14   12    1   13  0.071  0.077
 D105 E 400 G 25  I   18   14   18    0   14  0.000  0.000
 D105 E 400 G 28  C   13   13   10    3   10  0.231  0.231
 D105 E 400 G 28  I   18   13   17    1   12  0.077  0.056
 D105 E 400 G 29  C   13   16   11    2   14  0.125  0.154
 D105 E 400 G 29  I   18   16   17    1   15  0.062  0.056
 D105 E 400 G 31  C   13   10   13    0   10  0.000  0.000
 D105 E 400 G 31  I   18   10   18    0   10  0.000  0.000
 D106 E 200 G 16  A   14    5   13    1    4  0.200  0.071
 D106 E 200 G 16  F    8    5    8    0    5  0.000  0.000
 D106 E 200 G 19  A   14   17    8    6   11  0.353  0.429
 D106 E 200 G 19  F    8   17    7    1   16  0.059  0.125
 D106 E 200 G 20  A   14    9   11    3    6  0.333  0.214
 D106 E 200 G 20  F    8    9    6    2    7  0.222  0.250
 D106 E 200 G 21  A   14    8   12    2    6  0.250  0.143
 D106 E 200 G 21  F    8    8    8    0    8  0.000  0.000
 D106 E 200 G 22  A   14    4   14    0    4  0.000  0.000
 D106 E 200 G 22  F    8    4    8    0    4  0.000  0.000
 D106 E 200 G 24  A   14    6   14    0    6  0.000  0.000
 D106 E 200 G 24  F    8    6    7    1    5  0.167  0.125
 D106 E 200 G 25  A   14    6   14    0    6  0.000  0.000
 D106 E 200 G 25  F    8    6    8    0    6  0.000  0.000
 D106 E 200 G 28  A   14    8   13    1    7  0.125  0.071
 D106 E 200 G 28  F    8    8    7    1    7  0.125  0.125
 D106 E 200 G 29  A   14    9   14    0    9  0.000  0.000
 D106 E 200 G 29  F    8    9    6    2    7  0.222  0.250
 D106 E 200 G 31  A   14    8   13    1    7  0.125  0.071
 D106 E 200 G 31  F    8    8    7    1    7  0.125  0.125
 D106 E 400 G 16  A   27   13   24    3   10  0.231  0.111
 D106 E 400 G 16  F   17   13   16    1   12  0.077  0.059
 D106 E 400 G 19  A   27   34   12   15   19  0.441  0.556
 D106 E 400 G 19  F   17   34   11    6   28  0.176  0.353
 D106 E 400 G 20  A   27   20   20    7   13  0.350  0.259
 D106 E 400 G 20  F   17   20   13    4   16  0.200  0.235
 D106 E 400 G 21  A   27   14   22    5    9  0.357  0.185
 D106 E 400 G 21  F   17   14   12    5    9  0.357  0.294
 D106 E 400 G 22  A   27    8   27    0    8  0.000  0.000
 D106 E 400 G 22  F   17    8   17    0    8  0.000  0.000
 D106 E 400 G 24  A   27   12   24    3    9  0.250  0.111
 D106 E 400 G 24  F   17   12   13    4    8  0.333  0.235
 D106 E 400 G 25  A   27   13   24    3   10  0.231  0.111
 D106 E 400 G 25  F   17   13   14    3   10  0.231  0.176
 D106 E 400 G 28  A   27   15   22    5   10  0.333  0.185
 D106 E 400 G 28  F   17   15   13    4   11  0.267  0.235
 D106 E 400 G 29  A   27   15   24    3   12  0.200  0.111
 D106 E 400 G 29  F   17   15   13    4   11  0.267  0.235
 D106 E 400 G 31  A   27   15   22    5   10  0.333  0.185
 D106 E 400 G 31  F   17   15   12    5   10  0.333  0.294
 D107 E 200 G 16  E    7    6    7    0    6  0.000  0.000
 D107 E 200 G 16  H    9    6    9    0    6  0.000  0.000
 D107 E 200 G 19  E    7    8    5    2    6  0.250  0.286
 D107 E 200 G 19  H    9    8    7    2    6  0.250  0.222
 D107 E 200 G 20  E    7    8    5    2    6  0.250  0.286
 D107 E 200 G 20  H    9    8    8    1    7  0.125  0.111
 D107 E 200 G 21  E    7    7    5    2    5  0.286  0.286
 D107 E 200 G 21  H    9    7    8    1    6  0.143  0.111
 D107 E 200 G 22  E    7    4    7    0    4  0.000  0.000
 D107 E 200 G 22  H    9    4    9    0    4  0.000  0.000
 D107 E 200 G 24  E    7    6    4    3    3  0.500  0.429
 D107 E 200 G 24  H    9    6    8    1    5  0.167  0.111
 D107 E 200 G 25  E    7    5    6    1    4  0.200  0.143
 D107 E 200 G 25  H    9    5    8    1    4  0.200  0.111
 D107 E 200 G 28  E    7    7    4    3    4  0.429  0.429
 D107 E 200 G 28  H    9    7    8    1    6  0.143  0.111
 D107 E 200 G 29  E    7    8    6    1    7  0.125  0.143
 D107 E 200 G 29  H    9    8    9    0    8  0.000  0.000
 D107 E 200 G 31  E    7    8    7    0    8  0.000  0.000
 D107 E 200 G 31  H    9    8    9    0    8  0.000  0.000
 D107 E 400 G 16  E   13   11    9    4    7  0.364  0.308
 D107 E 400 G 16  H   18   11   18    0   11  0.000  0.000
 D107 E 400 G 19  E   13   14   10    3   11  0.214  0.231
 D107 E 400 G 19  H   18   14   15    3   11  0.214  0.167
 D107 E 400 G 20  E   13   17    9    4   13  0.235  0.308
 D107 E 400 G 20  H   18   17   16    2   15  0.118  0.111
 D107 E 400 G 21  E   13   13    8    5    8  0.385  0.385
 D107 E 400 G 21  H   18   13   16    2   11  0.154  0.111
 D107 E 400 G 22  E   13    8   13    0    8  0.000  0.000
 D107 E 400 G 22  H   18    8   18    0    8  0.000  0.000
 D107 E 400 G 24  E   13   14    8    5    9  0.357  0.385
 D107 E 400 G 24  H   18   14   16    2   12  0.143  0.111
 D107 E 400 G 25  E   13   11   10    3    8  0.273  0.231
 D107 E 400 G 25  H   18   11   17    1   10  0.091  0.056
 D107 E 400 G 28  E   13   15    7    6    9  0.400  0.462
 D107 E 400 G 28  H   18   15   17    1   14  0.067  0.056
 D107 E 400 G 29  E   13   13   10    3   10  0.231  0.231
 D107 E 400 G 29  H   18   13   17    1   12  0.077  0.056
 D107 E 400 G 31  E   13   15   11    2   13  0.133  0.154
 D107 E 400 G 31  H   18   15   17    1   14  0.067  0.056
 D108 E 200 G 16  H   15    6   15    0    6  0.000  0.000
 D108 E 200 G 16  I   15    6   15    0    6  0.000  0.000
 D108 E 200 G 19  H   15    8   15    0    8  0.000  0.000
 D108 E 200 G 19  I   15    8   14    1    7  0.125  0.067
 D108 E 200 G 20  H   15   10   15    0   10  0.000  0.000
 D108 E 200 G 20  I   15   10   15    0   10  0.000  0.000
 D108 E 200 G 21  H   15    9   15    0    9  0.000  0.000
 D108 E 200 G 21  I   15    9   15    0    9  0.000  0.000
 D108 E 200 G 22  H   15    4   15    0    4  0.000  0.000
 D108 E 200 G 22  I   15    4   15    0    4  0.000  0.000
 D108 E 200 G 24  H   15    7   15    0    7  0.000  0.000
 D108 E 200 G 24  I   15    7   15    0    7  0.000  0.000
 D108 E 200 G 25  H   15    5   15    0    5  0.000  0.000
 D108 E 200 G 25  I   15    5   15    0    5  0.000  0.000
 D108 E 200 G 28  H   15    8   15    0    8  0.000  0.000
 D108 E 200 G 28  I   15    8   15    0    8  0.000  0.000
 D108 E 200 G 29  H   15   11   15    0   11  0.000  0.000
 D108 E 200 G 29  I   15   11   15    0   11  0.000  0.000
 D108 E 200 G 31  H   15    7   14    1    6  0.143  0.067
 D108 E 200 G 31  I   15    7   15    0    7  0.000  0.000
 D108 E 400 G 16  H   24   12   24    0   12  0.000  0.000
 D108 E 400 G 16  I   20   12   19    1   11  0.083  0.050
 D108 E 400 G 19  H   24   16   23    1   15  0.062  0.042
 D108 E 400 G 19  I   20   16   18    2   14  0.125  0.100
 D108 E 400 G 20  H   24   23   22    2   21  0.087  0.083
 D108 E 400 G 20  I   20   23   18    2   21  0.087  0.100
 D108 E 400 G 21  H   24   18   23    1   17  0.056  0.042
 D108 E 400 G 21  I   20   18   18    2   16  0.111  0.100
 D108 E 400 G 22  H   24    8   24    0    8  0.000  0.000
 D108 E 400 G 22  I   20    8   20    0    8  0.000  0.000
 D108 E 400 G 24  H   24   16   22    2   14  0.125  0.083
 D108 E 400 G 24  I   20   16   18    2   14  0.125  0.100
 D108 E 400 G 25  H   24   14   24    0   14  0.000  0.000
 D108 E 400 G 25  I   20   14   19    1   13  0.071  0.050
 D108 E 400 G 28  H   24   17   22    2   15  0.118  0.083
 D108 E 400 G 28  I   20   17   18    2   15  0.118  0.100
 D108 E 400 G 29  H   24   16   21    3   13  0.188  0.125
 D108 E 400 G 29  I   20   16   19    1   15  0.062  0.050
 D108 E 400 G 31  H   24   14   23    1   13  0.071  0.042
 D108 E 400 G 31  I   20   14   18    2   12  0.143  0.100
 D109 E 200 H 16  B   13    3   13    0    3  0.000  0.000
 D109 E 200 H 16  J    7    3    6    1    2  0.333  0.143
 D109 E 200 H 19  B   13    5   13    0    5  0.000  0.000
 D109 E 200 H 19  J    7    5    6    1    4  0.200  0.143
 D109 E 200 H 20  B   13    8   12    1    7  0.125  0.077
 D109 E 200 H 20  J    7    8    7    0    8  0.000  0.000
 D109 E 200 H 21  B   13    6   13    0    6  0.000  0.000
 D109 E 200 H 21  J    7    6    6    1    5  0.167  0.143
 D109 E 200 H 22  B   13    5   13    0    5  0.000  0.000
 D109 E 200 H 22  J    7    5    7    0    5  0.000  0.000
 D109 E 200 H 24  B   13    6   13    0    6  0.000  0.000
 D109 E 200 H 24  J    7    6    7    0    6  0.000  0.000
 D109 E 200 H 25  B   13    6   12    1    5  0.167  0.077
 D109 E 200 H 25  J    7    6    6    1    5  0.167  0.143
 D109 E 200 H 28  B   13    5   13    0    5  0.000  0.000
 D109 E 200 H 28  J    7    5    7    0    5  0.000  0.000
 D109 E 200 H 29  B   13    7   13    0    7  0.000  0.000
 D109 E 200 H 29  J    7    7    7    0    7  0.000  0.000
 D109 E 200 H 31  B   13    4   13    0    4  0.000  0.000
 D109 E 200 H 31  J    7    4    6    1    3  0.250  0.143
 D109 E 400 H 16  B   21    7   21    0    7  0.000  0.000
 D109 E 400 H 16  J   13    7   13    0    7  0.000  0.000
 D109 E 400 H 19  B   21    9   20    1    8  0.111  0.048
 D109 E 400 H 19  J   13    9   11    2    7  0.222  0.154
 D109 E 400 H 20  B   21   17   18    3   14  0.176  0.143
 D109 E 400 H 20  J   13   17   10    3   14  0.176  0.231
 D109 E 400 H 21  B   21   11   19    2    9  0.182  0.095
 D109 E 400 H 21  J   13   11    9    4    7  0.364  0.308
 D109 E 400 H 22  B   21   10   21    0   10  0.000  0.000
 D109 E 400 H 22  J   13   10   13    0   10  0.000  0.000
 D109 E 400 H 24  B   21   12   19    2   10  0.167  0.095
 D109 E 400 H 24  J   13   12   10    3    9  0.250  0.231
 D109 E 400 H 25  B   21   11   20    1   10  0.091  0.048
 D109 E 400 H 25  J   13   11   12    1   10  0.091  0.077
 D109 E 400 H 28  B   21   11   21    0   11  0.000  0.000
 D109 E 400 H 28  J   13   11   13    0   11  0.000  0.000
 D109 E 400 H 29  B   21   11   21    0   11  0.000  0.000
 D109 E 400 H 29  J   13   11   12    1   10  0.091  0.077
 D109 E 400 H 31  B   21    9   20    1    8  0.111  0.048
 D109 E 400 H 31  J   13    9   12    1    8  0.111  0.077
 D110 E 200 H 16  B   11    5   11    0    5  0.000  0.000
 D110 E 200 H 16  C    8    5    7    1    4  0.200  0.125
 D110 E 200 H 19  B   11   12    8    3    9  0.250  0.273
 D110 E 200 H 19  C    8   12    8    0   12  0.000  0.000
 D110 E 200 H 20  B   11   11   11    0   11  0.000  0.000
 D110 E 200 H 20  C    8   11    8    0   11  0.000  0.000
 D110 E 200 H 21  B   11   10    9    2    8  0.200  0.182
 D110 E 200 H 21  C    8   10    7    1    9  0.100  0.125
 D110 E 200 H 22  B   11    8   11    0    8  0.000  0.000
 D110 E 200 H 22  C    8    8    8    0    8  0.000  0.000
 D110 E 200 H 24  B   11    9   10    1    8  0.111  0.091
 D110 E 200 H 24  C    8    9    7    1    8  0.111  0.125
 D110 E 200 H 25  B   11    7   10    1    6  0.143  0.091
 D110 E 200 H 25  C    8    7    7    1    6  0.143  0.125
 D110 E 200 H 28  B   11    8    9    2    6  0.250  0.182
 D110 E 200 H 28  C    8    8    8    0    8  0.000  0.000
 D110 E 200 H 29  B   11   12   11    0   12  0.000  0.000
 D110 E 200 H 29  C    8   12    6    2   10  0.167  0.250
 D110 E 200 H 31  B   11    7   11    0    7  0.000  0.000
 D110 E 200 H 31  C    8    7    8    0    7  0.000  0.000
 D110 E 400 H 16  B   21   12   20    1   11  0.083  0.048
 D110 E 400 H 16  C   20   12   19    1   11  0.083  0.050
 D110 E 400 H 19  B   21   22   15    6   16  0.273  0.286
 D110 E 400 H 19  C   20   22   17    3   19  0.136  0.150
 D110 E 400 H 20  B   21   23   19    2   21  0.087  0.095
 D110 E 400 H 20  C   20   23   17    3   20  0.130  0.150
 D110 E 400 H 21  B   21   17   16    5   12  0.294  0.238
 D110 E 400 H 21  C   20   17   17    3   14  0.176  0.150
 D110 E 400 H 22  B   21   11   21    0   11  0.000  0.000
 D110 E 400 H 22  C   20   11   20    0   11  0.000  0.000
 D110 E 400 H 24  B   21   18   18    3   15  0.167  0.143
 D110 E 400 H 24  C   20   18   16    4   14  0.222  0.200
 D110 E 400 H 25  B   21   16   19    2   14  0.125  0.095
 D110 E 400 H 25  C   20   16   18    2   14  0.125  0.100
 D110 E 400 H 28  B   21   17   17    4   13  0.235  0.190
 D110 E 400 H 28  C   20   17   20    0   17  0.000  0.000
 D110 E 400 H 29  B   21   19   20    1   18  0.053  0.048
 D110 E 400 H 29  C   20   19   20    0   19  0.000  0.000
 D110 E 400 H 31  B   21   15   21    0   15  0.000  0.000
 D110 E 400 H 31  C   20   15   20    0   15  0.000  0.000
 D111 E 200 H 16  C    7    5    6    1    4  0.200  0.143
 D111 E 200 H 16  F    7    5    5    2    3  0.400  0.286
 D111 E 200 H 19  C    7    7    5    2    5  0.286  0.286
 D111 E 200 H 19  F    7    7    4    3    4  0.429  0.429
 D111 E 200 H 20  C    7    6    6    1    5  0.167  0.143
 D111 E 200 H 20  F    7    6    5    2    4  0.333  0.286
 D111 E 200 H 21  C    7    7    5    2    5  0.286  0.286
 D111 E 200 H 21  F    7    7    4    3    4  0.429  0.429
 D111 E 200 H 22  C    7    6    7    0    6  0.000  0.000
 D111 E 200 H 22  F    7    6    7    0    6  0.000  0.000
 D111 E 200 H 24  C    7    6    5    2    4  0.333  0.286
 D111 E 200 H 24  F    7    6    5    2    4  0.333  0.286
 D111 E 200 H 25  C    7    6    6    1    5  0.167  0.143
 D111 E 200 H 25  F    7    6    6    1    5  0.167  0.143
 D111 E 200 H 28  C    7    7    4    3    4  0.429  0.429
 D111 E 200 H 28  F    7    7    4    3    4  0.429  0.429
 D111 E 200 H 29  C    7   10    6    1    9  0.100  0.143
 D111 E 200 H 29  F    7   10    6    1    9  0.100  0.143
 D111 E 200 H 31  C    7    8    7    0    8  0.000  0.000
 D111 E 200 H 31  F    7    8    7    0    8  0.000  0.000
 D111 E 400 H 16  C   15   10   13    2    8  0.200  0.133
 D111 E 400 H 16  F   15   10   12    3    7  0.300  0.200
 D111 E 400 H 19  C   15   15    6    9    6  0.600  0.600
 D111 E 400 H 19  F   15   15    6    9    6  0.600  0.600
 D111 E 400 H 20  C   15   14    7    8    6  0.571  0.533
 D111 E 400 H 20  F   15   14    7    8    6  0.571  0.533
 D111 E 400 H 21  C   15   13    8    7    6  0.538  0.467
 D111 E 400 H 21  F   15   13    8    7    6  0.538  0.467
 D111 E 400 H 22  C   15    9   15    0    9  0.000  0.000
 D111 E 400 H 22  F   15    9   15    0    9  0.000  0.000
 D111 E 400 H 24  C   15   11    6    9    2  0.818  0.600
 D111 E 400 H 24  F   15   11    8    7    4  0.636  0.467
 D111 E 400 H 25  C   15   13   14    1   12  0.077  0.067
 D111 E 400 H 25  F   15   13   13    2   11  0.154  0.133
 D111 E 400 H 28  C   15   13    7    8    5  0.615  0.533
 D111 E 400 H 28  F   15   13    8    7    6  0.538  0.467
 D111 E 400 H 29  C   15   15   10    5   10  0.333  0.333
 D111 E 400 H 29  F   15   15    9    6    9  0.400  0.400
 D111 E 400 H 31  C   15   16   10    5   11  0.312  0.333
 D111 E 400 H 31  F   15   16   12    3   13  0.188  0.200
 D112 E 200 H 16  E    6    4    6    0    4  0.000  0.000
 D112 E 200 H 16  G    8    4    8    0    4  0.000  0.000
 D112 E 200 H 19  E    6    5    5    1    4  0.200  0.167
 D112 E 200 H 19  G    8    5    7    1    4  0.200  0.125
 D112 E 200 H 20  E    6    7    6    0    7  0.000  0.000
 D112 E 200 H 20  G    8    7    7    1    6  0.143  0.125
 D112 E 200 H 21  E    6    5    5    1    4  0.200  0.167
 D112 E 200 H 21  G    8    5    8    0    5  0.000  0.000
 D112 E 200 H 22  E    6    4    6    0    4  0.000  0.000
 D112 E 200 H 22  G    8    4    8    0    4  0.000  0.000
 D112 E 200 H 24  E    6    5    5    1    4  0.200  0.167
 D112 E 200 H 24  G    8    5    8    0    5  0.000  0.000
 D112 E 200 H 25  E    6    5    5    1    4  0.200  0.167
 D112 E 200 H 25  G    8    5    8    0    5  0.000  0.000
 D112 E 200 H 28  E    6    5    6    0    5  0.000  0.000
 D112 E 200 H 28  G    8    5    8    0    5  0.000  0.000
 D112 E 200 H 29  E    6    7    5    1    6  0.143  0.167
 D112 E 200 H 29  G    8    7    8    0    7  0.000  0.000
 D112 E 200 H 31  E    6    6    5    1    5  0.167  0.167
 D112 E 200 H 31  G    8    6    8    0    6  0.000  0.000
 D112 E 400 H 16  E   12    7   12    0    7  0.000  0.000
 D112 E 400 H 16  G   16    7   16    0    7  0.000  0.000
 D112 E 400 H 19  E   12   11    8    4    7  0.364  0.333
 D112 E 400 H 19  G   16   11   13    3    8  0.273  0.188
 D112 E 400 H 20  E   12   15   10    2   13  0.133  0.167
 D112 E 400 H 20  G   16   15   15    1   14  0.067  0.062
 D112 E 400 H 21  E   12   11    8    4    7  0.364  0.333
 D112 E 400 H 21  G   16   11   14    2    9  0.182  0.125
 D112 E 400 H 22  E   12    8   12    0    8  0.000  0.000
 D112 E 400 H 22  G   16    8   16    0    8  0.000  0.000
 D112 E 400 H 24  E   12   11    7    5    6  0.455  0.417
 D112 E 400 H 24  G   16   11   14    2    9  0.182  0.125
 D112 E 400 H 25  E   12   11    9    3    8  0.273  0.250
 D112 E 400 H 25  G   16   11   15    1   10  0.091  0.062
 D112 E 400 H 28  E   12   12   11    1   11  0.083  0.083
 D112 E 400 H 28  G   16   12   16    0   12  0.000  0.000
 D112 E 400 H 29  E   12   13    9    3   10  0.231  0.250
 D112 E 400 H 29  G   16   13   16    0   13  0.000  0.000
 D112 E 400 H 31  E   12   11    9    3    8  0.273  0.250
 D112 E 400 H 31  G   16   11   14    2    9  0.182  0.125
 D113 E 200 H 16  A    8    4    8    0    4  0.000  0.000
 D113 E 200 H 16  I    9    4    9    0    4  0.000  0.000
 D113 E 200 H 19  A    8    7    7    1    6  0.143  0.125
 D113 E 200 H 19  I    9    7    9    0    7  0.000  0.000
 D113 E 200 H 20  A    8    5    8    0    5  0.000  0.000
 D113 E 200 H 20  I    9    5    8    1    4  0.200  0.111
 D113 E 200 H 21  A    8    5    8    0    5  0.000  0.000
 D113 E 200 H 21  I    9    5    8    1    4  0.200  0.111
 D113 E 200 H 22  A    8    4    8    0    4  0.000  0.000
 D113 E 200 H 22  I    9    4    9    0    4  0.000  0.000
 D113 E 200 H 24  A    8    5    7    1    4  0.200  0.125
 D113 E 200 H 24  I    9    5    8    1    4  0.200  0.111
 D113 E 200 H 25  A    8    6    7    1    5  0.167  0.125
 D113 E 200 H 25  I    9    6    8    1    5  0.167  0.111
 D113 E 200 H 28  A    8    6    8    0    6  0.000  0.000
 D113 E 200 H 28  I    9    6    9    0    6  0.000  0.000
 D113 E 200 H 29  A    8    7    6    2    5  0.286  0.250
 D113 E 200 H 29  I    9    7    7    2    5  0.286  0.222
 D113 E 200 H 31  A    8    6    8    0    6  0.000  0.000
 D113 E 200 H 31  I    9    6    8    1    5  0.167  0.111
 D113 E 400 H 16  A   15   10   14    1    9  0.100  0.067
 D113 E 400 H 16  I   16   10   14    2    8  0.200  0.125
 D113 E 400 H 19  A   15   14   13    2   12  0.143  0.133
 D113 E 400 H 19  I   16   14   14    2   12  0.143  0.125
 D113 E 400 H 20  A   15   16   11    4   12  0.250  0.267
 D113 E 400 H 20  I   16   16    9    7    9  0.438  0.438
 D113 E 400 H 21  A   15   11   11    4    7  0.364  0.267
 D113 E 400 H 21  I   16   11   11    5    6  0.455  0.312
 D113 E 400 H 22  A   15    8   15    0    8  0.000  0.000
 D113 E 400 H 22  I   16    8   16    0    8  0.000  0.000
 D113 E 400 H 24  A   15   14   12    3   11  0.214  0.200
 D113 E 400 H 24  I   16   14   10    6    8  0.429  0.375
 D113 E 400 H 25  A   15   15   10    5   10  0.333  0.333
 D113 E 400 H 25  I   16   15   13    3   12  0.200  0.188
 D113 E 400 H 28  A   15   12   14    1   11  0.083  0.067
 D113 E 400 H 28  I   16   12   12    4    8  0.333  0.250
 D113 E 400 H 29  A   15   11   12    3    8  0.273  0.200
 D113 E 400 H 29  I   16   11   12    4    7  0.364  0.250
 D113 E 400 H 31  A   15   12   14    1   11  0.083  0.067
 D113 E 400 H 31  I   16   12   14    2   10  0.167  0.125
 D114 E 200 H 16  F    9    6    9    0    6  0.000  0.000
 D114 E 200 H 16  I   10    6   10    0    6  0.000  0.000
 D114 E 200 H 19  F    9   10    8    1    9  0.100  0.111
 D114 E 200 H 19  I   10   10    8    2    8  0.200  0.200
 D114 E 200 H 20  F    9   10    8    1    9  0.100  0.111
 D114 E 200 H 20  I   10   10    9    1    9  0.100  0.100
 D114 E 200 H 21  F    9    7    9    0    7  0.000  0.000
 D114 E 200 H 21  I   10    7    9    1    6  0.143  0.100
 D114 E 200 H 22  F    9    4    9    0    4  0.000  0.000
 D114 E 200 H 22  I   10    4   10    0    4  0.000  0.000
 D114 E 200 H 24  F    9    6    8    1    5  0.167  0.111
 D114 E 200 H 24  I   10    6   10    0    6  0.000  0.000
 D114 E 200 H 25  F    9    6    8    1    5  0.167  0.111
 D114 E 200 H 25  I   10    6   10    0    6  0.000  0.000
 D114 E 200 H 28  F    9    7    9    0    7  0.000  0.000
 D114 E 200 H 28  I   10    7    8    2    5  0.286  0.200
 D114 E 200 H 29  F    9   11    8    1   10  0.091  0.111
 D114 E 200 H 29  I   10   11   10    0   11  0.000  0.000
 D114 E 200 H 31  F    9    7    9    0    7  0.000  0.000
 D114 E 200 H 31  I   10    7   10    0    7  0.000  0.000
 D114 E 400 H 16  F   19   13   17    2   11  0.154  0.105
 D114 E 400 H 16  I   20   13   18    2   11  0.154  0.100
 D114 E 400 H 19  F   19   20   15    4   16  0.200  0.211
 D114 E 400 H 19  I   20   20   15    5   15  0.250  0.250
 D114 E 400 H 20  F   19   20   18    1   19  0.050  0.053
 D114 E 400 H 20  I   20   20   19    1   19  0.050  0.050
 D114 E 400 H 21  F   19   14   17    2   12  0.143  0.105
 D114 E 400 H 21  I   20   14   18    2   12  0.143  0.100
 D114 E 400 H 22  F   19    8   19    0    8  0.000  0.000
 D114 E 400 H 22  I   20    8   20    0    8  0.000  0.000
 D114 E 400 H 24  F   19   12   18    1   11  0.083  0.053
 D114 E 400 H 24  I   20   12   18    2   10  0.167  0.100
 D114 E 400 H 25  F   19   15   18    1   14  0.067  0.053
 D114 E 400 H 25  I   20   15   19    1   14  0.067  0.050
 D114 E 400 H 28  F   19   15   17    2   13  0.133  0.105
 D114 E 400 H 28  I   20   15   16    4   11  0.267  0.200
 D114 E 400 H 29  F   19   19   19    0   19  0.000  0.000
 D114 E 400 H 29  I   20   19   19    1   18  0.053  0.050
 D114 E 400 H 31  F   19   14   18    1   13  0.071  0.053
 D114 E 400 H 31  I   20   14   18    2   12  0.143  0.100
 D115 E 200 I 16  B   11    5   10    1    4  0.200  0.091
 D115 E 200 I 16  J   11    5   11    0    5  0.000  0.000
 D115 E 200 I 19  B   11    7    9    2    5  0.286  0.182
 D115 E 200 I 19  J   11    7    9    2    5  0.286  0.182
 D115 E 200 I 20  B   11    7   11    0    7  0.000  0.000
 D115 E 200 I 20  J   11    7   10    1    6  0.143  0.091
 D115 E 200 I 21  B   11    7   10    1    6  0.143  0.091
 D115 E 200 I 21  J   11    7   10    1    6  0.143  0.091
 D115 E 200 I 22  B   11    4   11    0    4  0.000  0.000
 D115 E 200 I 22  J   11    4   11    0    4  0.000  0.000
 D115 E 200 I 24  B   11    7   10    1    6  0.143  0.091
 D115 E 200 I 24  J   11    7   10    1    6  0.143  0.091
 D115 E 200 I 25  B   11    6   11    0    6  0.000  0.000
 D115 E 200 I 25  J   11    6   11    0    6  0.000  0.000
 D115 E 200 I 28  B   11    7   10    1    6  0.143  0.091
 D115 E 200 I 28  J   11    7   11    0    7  0.000  0.000
 D115 E 200 I 29  B   11    8   11    0    8  0.000  0.000
 D115 E 200 I 29  J   11    8   11    0    8  0.000  0.000
 D115 E 200 I 31  B   11    7   11    0    7  0.000  0.000
 D115 E 200 I 31  J   11    7   11    0    7  0.000  0.000
 D115 E 400 I 16  B   22   12   21    1   11  0.083  0.045
 D115 E 400 I 16  J   19   12   17    2   10  0.167  0.105
 D115 E 400 I 19  B   22   14   20    2   12  0.143  0.091
 D115 E 400 I 19  J   19   14   15    4   10  0.286  0.211
 D115 E 400 I 20  B   22   16   20    2   14  0.125  0.091
 D115 E 400 I 20  J   19   16   16    3   13  0.188  0.158
 D115 E 400 I 21  B   22   13   20    2   11  0.154  0.091
 D115 E 400 I 21  J   19   13   16    3   10  0.231  0.158
 D115 E 400 I 22  B   22    8   22    0    8  0.000  0.000
 D115 E 400 I 22  J   19    8   19    0    8  0.000  0.000
 D115 E 400 I 24  B   22   16   21    1   15  0.062  0.045
 D115 E 400 I 24  J   19   16   17    2   14  0.125  0.105
 D115 E 400 I 25  B   22   17   20    2   15  0.118  0.091
 D115 E 400 I 25  J   19   17   18    1   16  0.059  0.053
 D115 E 400 I 28  B   22   14   21    1   13  0.071  0.045
 D115 E 400 I 28  J   19   14   16    3   11  0.214  0.158
 D115 E 400 I 29  B   22   15   21    1   14  0.067  0.045
 D115 E 400 I 29  J   19   15   19    0   15  0.000  0.000
 D115 E 400 I 31  B   22   14   22    0   14  0.000  0.000
 D115 E 400 I 31  J   19   14   17    2   12  0.143  0.105
 D116 E 200 I 16  B    8    5    8    0    5  0.000  0.000
 D116 E 200 I 16  H    8    5    8    0    5  0.000  0.000
 D116 E 200 I 19  B    8    7    8    0    7  0.000  0.000
 D116 E 200 I 19  H    8    7    7    1    6  0.143  0.125
 D116 E 200 I 20  B    8    7    7    1    6  0.143  0.125
 D116 E 200 I 20  H    8    7    8    0    7  0.000  0.000
 D116 E 200 I 21  B    8    6    6    2    4  0.333  0.250
 D116 E 200 I 21  H    8    6    6    2    4  0.333  0.250
 D116 E 200 I 22  B    8    4    8    0    4  0.000  0.000
 D116 E 200 I 22  H    8    4    8    0    4  0.000  0.000
 D116 E 200 I 24  B    8    6    7    1    5  0.167  0.125
